text,label
"URGENT!! Air hostess jobs in Qatar. Salary K18,000. Pay K1,000 for medicals. Only 20 slots left",fake
"Standard Chartered Bank Zambia is recruiting Relationship Managers. Visit sc.com/careers. No fees",genuine
"URGENT! 20 receptionists needed in Lusaka hotels. Salary K6,000. Pay K150 for uniform before interview",fake
"Zambia Development Agency is recruiting Investment Officers. Apply via www.zda.org.zm. No application fee",genuine
"Free scholarship to Russia! Just pay K700 for flight booking. WhatsApp us now for your slot",fake
"Indeni Petroleum Refinery is recruiting Mechanical Technicians. Visit www.indeni.co.zm for details. No fees",genuine
"You've been selected for a Canada work visa! Pay K2,500 processing fee to receive your documents",fake
"Zambia Airports Corporation is recruiting Security Officers. Apply at www.zac.co.zm. Deadline 5 January 2027",genuine
"K5,000 daily from Bitcoin trading! Pay K500 to join our group and start earning today",fake
"National Housing Authority is recruiting Quantity Surveyors. Apply via www.nha.org.zm. No fees charged",genuine
"Hospital jobs in South Africa! Nurses needed urgently. Pay K1,500 for registration and travel",fake
"Road Development Agency is recruiting Civil Engineers. Visit www.rda.org.zm/careers. Deadline 15 January 2027",genuine
"Win a K50,000 business grant! Pay only K300 processing fee. Send your full name and bank details",fake
"Zambia Public Procurement Authority is recruiting Procurement Officers. Apply via www.zppa.org.zm",genuine
"URGENT: Cleaners needed in Dubai. Salary K8,000. Pay K600 for visa processing. Only 15 slots",fake
"Zambia Compulsory Standards Agency is recruiting Inspectors. Visit www.zcsa.org.zm for details",genuine
"You have been awarded a scholarship to Harvard! Send K1,000 to claim. Contact us on WhatsApp now",fake
"National Road Fund Agency is recruiting Accountants. Apply via www.nrfa.org.zm. No application fee",genuine
"Hotel jobs in Qatar! Salary K12,000. No experience needed. Pay K900 for medicals. Immediate start",fake
"Zambia Medicines Regulatory Authority is recruiting Pharmacists. Visit www.zamra.co.zm. No fees",genuine
"Congratulations! You won a K15,000 cash prize. Send K400 to process your winnings. Hurry!",fake
"Zambia Environmental Management Agency is recruiting Environmental Officers. Apply at www.zema.org.zm",genuine
"URGENT: Security guards needed in Johannesburg. Salary K9,000. Pay K500 agent fee. WhatsApp now",fake
"Zambia Tourism Agency is recruiting Marketing Officers. Visit www.zambiatourism.com. No application fee",genuine
"Fully funded scholarship to Germany! Pay only K800 for documentation. Limited slots available",fake
"Zambia Institute of Mass Communication is recruiting Lecturers. Apply via www.zimco.ac.zm",genuine
"Earn K30,000 monthly from forex trading! Pay K1,000 training fee. WhatsApp 0955XXXXXX now",fake
"National Health Insurance Management Authority is recruiting Claims Officers. Visit www.nhima.co.zm",genuine
"Nanny jobs in the UK! Salary K15,000. No experience needed. Pay K1,200 for visa. Call now",fake
"Zambia Bureau of Standards is recruiting Laboratory Technicians. Apply via www.zabs.org.zm",genuine
"You have been selected to work in Canada! Send K3,000 for work permit processing immediately",fake
"National Museums Board of Zambia is recruiting Curators. Visit www.nationalmuseums.org.zm",genuine
"Urgent hire: 50 sales agents needed. Salary K7,000 monthly. Pay K200 registration. WhatsApp 0977XXXXXX",fake
"Zambia Revenue Authority is recruiting Customs Officers. Apply via www.zra.org.zm. No application fee",genuine
"Fully funded scholarship to Norway! Send K1,100 for document processing. Only 8 slots left this week",fake
"Zambia Metrological Department is recruiting Meteorologists. Visit www.met.gov.zm/careers",genuine
"URGENT: Farm workers needed in Israel. Salary K20,000. Pay K1,500 for ticket. WhatsApp us today",fake
"Ministry of Agriculture is recruiting Agricultural Officers. Apply via www.agriculture.gov.zm. No fees",genuine
"You won a scholarship to Oxford! Pay K1,300 for processing fee to receive your admission letter",fake
"Zambia Development Agency is recruiting Business Analysts. Visit www.zda.org.zm. No application fee",genuine
"Cashier jobs at Shoprite! Pay K100 for uniform and start immediately. WhatsApp 0966XXXXXX",fake
"Zambia Standards Agency is recruiting Quality Assurance Officers. Visit www.zabs.org.zm",genuine
"Immediate hiring: 100 security guards needed in Lusaka. Pay K150 for uniform. Salary K5,000",fake
"Zambia Forest Department is recruiting Forestry Officers. Apply via www.zfd.gov.zm. No fees",genuine
"Get a job at Pick n Pay today! Pay K120 for uniform and start tomorrow. WhatsApp 0955XXXXXX",fake
"Zambia National Broadcasting Corporation is recruiting Journalists. Apply via www.znbc.co.zm",genuine
"Scholarship alert: Full tuition to USA! Pay only K1,500 for application processing. Slots closing soon",fake
"Zambia Railways Limited is recruiting Locomotive Engineers. Visit www.zrl.com.zm/careers",genuine
"URGENT: Domestic workers needed in Oman. Salary K7,500. Pay K800 for visa. Immediate departure",fake
"Zambia Agricultural Research Institute is recruiting Research Officers. Apply via www.zari.gov.zm",genuine
"Congratulations! You've won a K10,000 tender. Pay K500 processing fee to receive your contract documents",fake
"Zambia Institute of Policy Analysis is recruiting Researchers. Visit www.zipar.org.zm. No fees",genuine
"Driver jobs in Dubai! Salary K14,000. Pay K1,200 for license conversion. Call 0977XXXXXX",fake
"Zambia Chamber of Commerce is recruiting Trade Officers. Apply via www.zacci.org.zm. No fees",genuine
"URGENT: 30 teachers needed in Rwanda. Pay K700 for document translation. Salary K12,000 monthly",fake
"Zambia Revenue Authority is recruiting IT Officers. Apply via www.zra.org.zm. No application fee",genuine
"Fully funded MBA in the UK! Pay only K2,000 for processing. Slots are limited, apply today!",fake
"Zambia Public Service Commission is recruiting Administrators. Visit www.psc.gov.zm. No fees",genuine
"Hotel staff needed in the Bahamas! Salary K10,000. Pay K1,000 for medicals. Immediate start",fake
"Zambia Postal Services is recruiting Couriers. Apply via www.zampost.co.zm. No application fee",genuine
"Work online and earn K15,000 weekly! No experience needed. Pay K350 registration. WhatsApp 0955XXXXXX",fake
"Zambia National Housing Authority is recruiting Planners. Apply via www.nha.org.zm. No application fee",genuine
